,,,,,,,,,,,,,,,,,,A,B,C,D
1,¿Qué operador realiza la comparación lógica OR en ARDUINO?,||,&&,!,+,3,0,1,2,D,A,B,C,P1D: ||,P1A: &&,P1B: !,P1C: +,P1A: &&,P1B: !,P1C: +,P1D: ||
2,¿Qué resistencia es más conveniente colocar en serie con un LED para que se encienda a 5V?,220 Ohmios,2200 Ohmios,22 Kilo Ohmios,22 Mega Ohmios,2,3,0,1,C,D,A,B,P2C: 220 Ohmios,P2D: 2200 Ohmios,P2A: 22 Kilo Ohmios,P2B: 22 Mega Ohmios,P2A: 22 Kilo Ohmios,P2B: 22 Mega Ohmios,P2C: 220 Ohmios,P2D: 2200 Ohmios
3,"¿Qué función de ARDUINO, siempre presente, repite sus órdenes constantemente?",void loop(),void setup(),void(),for ,2,3,0,1,C,D,A,B,P3C: void loop(),P3D: void setup(),P3A: void(),P3B: for ,P3A: void(),P3B: for ,P3C: void loop(),P3D: void setup()
4,¿Qué significa la abreviación 'OS' en el lenguaje informático?,Operative System,Open Source,Open Software,Operative Software,2,3,0,1,C,D,A,B,P4C: Operative System,P4D: Open Source,P4A: Open Software,P4B: Operative Software,P4A: Open Software,P4B: Operative Software,P4C: Operative System,P4D: Open Source
5,¿Que tres extensiones son necesarias en una libreria de arduino?, .h .cpp .txt ,.p .hpp .txt,.setup .void .cpp,.ppc .h .txt,0,1,2,3,A,B,C,D,P5A:  .h .cpp .txt ,P5B: .p .hpp .txt,P5C: .setup .void .cpp,P5D: .ppc .h .txt,P5A:  .h .cpp .txt ,P5B: .p .hpp .txt,P5C: .setup .void .cpp,P5D: .ppc .h .txt
6,¿Qué estructura del lenguaje en ARDUINOes la condicional?,if...else,si..no,if...end,while,2,3,0,1,C,D,A,B,P6C: if...else,P6D: si..no,P6A: if...end,P6B: while,P6A: if...end,P6B: while,P6C: if...else,P6D: si..no
7,La función pinMode admite tres modos de operación. ¿Cuál es el incorrecto?, INPUT_PULLDOWN,INPUT,OUTPUT, INPUT_PULLUP,2,3,0,1,C,D,A,B,P7C:  INPUT_PULLDOWN,P7D: INPUT,P7A: OUTPUT,P7B:  INPUT_PULLUP,P7A: OUTPUT,P7B:  INPUT_PULLUP,P7C:  INPUT_PULLDOWN,P7D: INPUT
8,¿Qué función matemática realiza en ARDUINO una regla de tres?,map(),max(),pow(),tres(),1,2,3,0,B,C,D,A,P8B: map(),P8C: max(),P8D: pow(),P8A: tres(),P8A: tres(),P8B: map(),P8C: max(),P8D: pow()
9,¿Con qué relacionas el comando ramdom()?,pseudo-aleatoriedad,Números aleatorios,Números grandes,pre-aleatoriedad,2,3,0,1,C,D,A,B,P9C: pseudo-aleatoriedad,P9D: Números aleatorios,P9A: Números grandes,P9B: pre-aleatoriedad,P9A: Números grandes,P9B: pre-aleatoriedad,P9C: pseudo-aleatoriedad,P9D: Números aleatorios
10,Imprime el resultado en el Monitor Serie y salta a la siguiente línea,Serial.println(),Serial.print(),Serial.printline(),Serial.Write(),0,1,2,3,A,B,C,D,P10A: Serial.println(),P10B: Serial.print(),P10C: Serial.printline(),P10D: Serial.Write(),P10A: Serial.println(),P10B: Serial.print(),P10C: Serial.printline(),P10D: Serial.Write()
